1.5 15.753
1.35 15.6035
1.215 14.036
1.0935 11.4646
0.98415 13.2681
0.885735 13.858
0.797162 14.7436
0.717445 13.4243
0.645701 11.9702
0.581131 12.5784
0.523018 10.6046
0.470716 12.6166
0.423644 11.8668
0.38128 10.4172
0.343152 9.43011
0.308837 7.74825
0.277953 7.84048
0.250158 7.51073
0.225142 7.12814
0.202628 7.2046
0.182365 6.50736
0.164128 6.93862
0.147716 5.85589
0.132944 5.73844
0.11965 5.62239
0.107685 6.14843
0.0969162 5.70818
0.0872246 5.45545
0.0785021 5.53793
0.0706519 5.41889
0.0635867 5.3147
0.0572281 4.77198
0.0515053 4.36004
0.0463547 3.83375
0.0417193 3.8405
0.0375473 3.66612
0.0337926 3.57518
0.0304133 3.57518
0.027372 3.57384
0.0246348 3.48316
0.0221713 3.49631
0.0199542 3.31812
0.0179588 3.26566
0.0161629 3.25775
0.0145466 3.27107
0.0130919 3.22428
0.0117828 3.22428
0.0106045 3.10962
