1.5 13.1
1.35 12.6431
1.215 11.9327
1.0935 12.6758
0.98415 12.1755
0.885735 12.2008
0.797162 11.776
0.717445 10.6774
0.645701 10.7447
0.581131 10.5486
0.523018 11.4948
0.470716 9.79519
0.423644 11.0458
0.38128 10.2793
0.343152 10.4829
0.308837 10.5689
0.277953 9.93649
0.250158 7.79946
0.225142 7.7675
0.202628 7.81545
0.182365 7.57947
0.164128 7.48833
0.147716 7.59455
0.132944 7.56787
0.11965 7.22287
0.107685 6.53956
0.0969162 6.08824
0.0872246 5.51094
0.0785021 5.13729
0.0706519 5.46737
0.0635867 5.30527
0.0572281 5.43519
0.0515053 5.16065
0.0463547 5.14068
0.0417193 4.88044
0.0375473 4.87228
0.0337926 4.95856
0.0304133 4.95856
0.027372 4.95405
0.0246348 4.89248
0.0221713 4.82249
0.0199542 4.85371
0.0179588 4.87216
0.0161629 4.72893
0.0145466 4.67809
0.0130919 4.65215
0.0117828 4.65215
0.0106045 4.6256
