0 0.505535 0.03068
1 0.441958 0.0367322
2 0.471443 0.0391217
3 0.426617 0.0279594
4 0.486122 0.0324436
5 0.479713 0.0278865
6 0.516863 0.0268482
7 0.475573 0.0416428
8 0.450146 0.0298518
9 0.419983 0.0250141
10 0.482022 0.0303192
11 0.478998 0.0297243
12 0.48338 0.0298959
13 0.447562 0.0381982
14 0.477993 0.034612
15 0.466436 0.0321256
16 0.476294 0.0315549
17 0.528915 0.0368302
18 0.50432 0.0223882
19 0.481028 0.0423888
20 0.52087 0.0335551
21 0.455427 0.0253294
22 0.468829 0.0260629
23 0.497712 0.039118
24 0.488868 0.0308011
25 0.449076 0.0302841
26 0.411781 0.0367732
27 0.462882 0.0255214
28 0.521136 0.0364967
29 0.46437 0.0316533
